name,available_quantity,isbn,language,total_pages,price,book_image,description,published_date,publisher_id,deleted_at,
Thuật Thao Túng - Góc Tối Ẩn Sau Mỗi Câu Nói,100,8935325009006,Tiếng Việt,344,99000,https://www.fahasa.com/thuat-thao-tung-goc-toi-an-sau-moi-cau-noi.html#lg=1&slide=0,"Bạn có muốn giành phần thắng cuối cùng trong các cuộc tranh luận?
Bạn có muốn dẹp đi bộ mặt kiêu ngạo của các đồng nghiệp xung quanh mình?
Bạn có muốn chứng minh rằng bạn đã đúng về mọi thứ?
Đây là quyển sách chứa đựng đáp án mà bạn mong muốn. Thuật thao túng sẽ giúp bạn thuần thục các kỹ năng thuộc bộ môn “nghệ thuật” làm chủ cảm xúc, làm chủ vận mệnh, điều chỉnh tâm lý và đạt được thứ bạn muốn một cách tinh vi: thao túng tâm lý người đối diện, khiến họ hành động theo hướng ta mong đợi. Không những vậy, quyển sách còn giúp bạn nhìn nhận lại về định nghĩa thao túng, những tốt-xấu ẩn giấu đằng sau và giải đáp vấn đề đạo đức con người mà bạn luôn trăn trở khi thực hiện những hành vi này. Bật mí, con người khi vừa sinh ra đã làm một thao tác thao túng tâm lý người khác rồi đấy!
Có thể bạn chưa biết, bạn đã và đang thao túng người khác hoặc bị người khác thao túng thông qua cử chỉ ngôn hành mỗi ngày, như-một-trò-đùa.
Có thể bạn chưa biết, nạn nhân bị thao túng chưa chắc đã rơi vào tình thế bất lợi, nhưng rơi vào tình thế bất lợi chắc chắn đã bị thao túng.
Có thể bạn chưa biết, người có đạo đức chắc chắn không thao túng người khác, nhưng kẻ thao túng người khác chưa chắc đã vô đạo đức.
Với 10 kỹ năng và 37 thủ thuật, Thuật thao túng sẽ giúp bạn nhận ra và thoát khỏi những suy nghĩ xấu xa nơi tiềm thức của chính mình, đồng thời vạch trần góc tối ẩn giấu sau mỗi câu nói của đối phương, đưa những chiêu trò thao túng ấy ra ánh sáng để mọi người không lần nữa rơi vào cạm bẫy. Hơn cả, quyển sách này sẽ dẫn lối bạn trở thành một “nghệ nhân” thao túng có đạo đức.",2022-02-01,1,,
Harry Potter Và Đứa Trẻ Bị Nguyền Rủa: Phần Một Và Hai (Tái Bản),100,8934974177777,Tiếng Việt,468,136000,https://www.fahasa.com/harry-potter-va-dua-tre-bi-nguyen-rua-phan-mot-va-hai-tai-ban.html?fhs_campaign=COLA_TMDT_HETHONG,"Kịch bản Harry Potter và Đứa trẻ bị nguyền rủa được viết dựa trên câu chuyện của J.K. Rowling, Jack Thorne và John Tiffany.
Từ những nhân vật quen thuộc trong bộ Harry Potter, kịch bản nói về cuộc phiêu lưu của những hậu duệ, sự can thiệp vào dòng thời gian đã gây ra những thay đổi không ngờ cho tương lai tưởng chừng đã yên ổn sau khi vắng bóng chúa tể Voldermort",2022-06-01,2,,
Đời Ngắn Đừng Ngủ Dài (Tái Bản 2018),100,8934974158691,Tiếng Việt,228,55000,https://www.fahasa.com/doi-ngan-dung-ngu-dai-tai-ban-2018.html," “Mọi lựa chọn đều giá trị. Mọi bước đi đều quan trọng. Cuộc sống vẫn diễn ra theo cách của nó, không phải theo cách của ta. Hãy kiên nhẫn. Tin tưởng. Hãy giống như người thợ cắt đá, đều đặn từng nhịp, ngày qua ngày. Cuối cùng, một nhát cắt duy nhất sẽ phá vỡ tảng đá và lộ ra viên kim cương. Người tràn đầy nhiệt huyết và tận tâm với việc mình làm không bao giờ bị chối bỏ. Sự thật là thế.”
Bằng những lời chia sẻ thật ngắn gọn, dễ hiểu về những trải nghiệm và suy ngẫm trong đời, Robin Sharma tiếp tục phong cách viết của ông từ cuốn sách Điều vĩ đại đời thường để mang đến cho độc giả những bài viết như lời tâm sự, vừa chân thành vừa sâu sắc.",2022-12-09,2,,
Chạng Vạng (Tái Bản 2020),100,8934974169581,Tiếng Việt,650,144000,https://www.fahasa.com/chang-vang-tai-ban-2020.html,"Sách viết về mối tình của một cô gái trẻ với ma cà rồng, trong bối cảnh nước Mỹ hiện đại. Từ đó, những ngọt ngào và cay đắng thậm chí cả cái chết đã liên tục đe dọa cô gái, để dẫn cô gái đến một lựa chọn can đảm… Chạng vạng thuộc loại truyện kinh dị nhưng viết cảm động, sâu sắc, đầy tính nhân văn. Bản dịch được trau chuốt khá kỹ. Sách dành cho đối tượng bạn đọc rộng rãi, đặc biệt là bạn đọc trẻ.",2020-05-01,2,,
100 Ý Tưởng Nhóm Tuyệt Hay,100,8934974141464,Tiếng Việt,348,78400,https://www.fahasa.com/100-y-tuong-nhom-tuyet-hay-151661.html,"Khi một nhóm hoạt động tốt thì hiệu quả sẽ cao. Người ta thừa nhận năng lực và sự khác biệt cá nhân, tuyên dương và chia sẻ những thành công. Khi sai sót phát sinh, người ta xem đó là cơ hội để học tập hơn là thất bại. Nhưng không phải tất cả các nhóm đều gắn kết. Sự thất vọng có thể xuất hiện khi có những khó khăn nhỏ. Người ta có thể quá tập trung vào chuyện nội bộ và tiến bộ chậm lại.
Các lãnh đạo nhóm giỏi thường tìm cách hỗ trợ nhóm của mình làm việc hiệu quả theo tiến độ, đồng thời cũng đảm bảo mọi người có đủ thời gian để suy nghĩ về những vấn đề dài hạn hơn. Sự thôi thúc thử nghiệm các phương pháp mới và học hỏi từ người khác ngày càng gia tăng.
Những ý tưởng trong quyển sách này sẽ đưa ra hàng loạt đề nghị để giúp bạn đo lường khả năng cao nhất mà bạn có thể đạt được ở cả hai vai trò lãnh đạo cũng như thành viên một nhóm. Quyển sách 100 Ý Tưởng Nhóm Tuyệt Hay sẽ là một công cụ thực hành dành cho những nhà quản lý và lãnh đạo ở bất kỳ cấp bậc, bất kỳ tổ chức và bất kỳ quốc gia nào.",2016-07-09,2,,
Lập Trình Quỹ Đạo Cuộc Đời,100,8935278600619,Tiếng Việt,280,112000,https://www.fahasa.com/lap-trinh-quy-dao-cuoc-doi.html,"Chào mừng bạn đã đến với Lập trình Quỹ Đạo Cuộc Đời, mình là Kiên Trần - tác giả của quyển sách này.
Đây không phải sách phát triển bản thân.
Đây là sách giúp bạn am hiểu bản thân và lập trình nên Quỹ Đạo Cuộc Đời cho riêng bạn. 
Bạn không thể phát triển nếu bạn không am hiểu cách bản thân bạn và xã hội vận hành. 
Đúng vậy, nhiều sách trên thị trường hiện nay xem bạn giống như robot – có thể huy động sự kiên nhẫn, động lực, ý chí, sức mạnh theo ý muốn. Sai sai sai.
Họ khuyên bạn trở thành người tốt, liêm khiết (integrity) nhưng họ chỉ dừng lại ở giáo điều. Sai sai và sai. Kết quả là sau khi đọc xong, bạn quên 90% nội dung và tự hỏi tại sao quỹ đạo cuộc đời không thay đổi. Bạn thấy hay nhưng không hoàn toàn bị thuyết phục.
Lập trình Quỹ Đạo Cuộc Đời đem đến cho bạn những hệ tư duy khiến bạn hiểu vấn đề một cách tường tận qua những ví dụ và lập luận logic. Bạn có cơ hội được đi sâu khám phá bản chất của mọi hành vi. Mình muốn bạn trước khi phát triển bản thân, có thể nhận thức được mọi thứ rõ như ban ngày. Đọc vị được chính bạn, sau đó đến người khác và các chiến thuật tồn tại ở cái thế kỷ XXI hỗn loạn này.
Hãy mang cuốn sách này bên bạn và xem nó như một người bạn. Nhất là những khi bạn cảm thấy tội lỗi, mệt mỏi và muốn bỏ cuộc. Nó là cuốn cẩm nang giúp bạn tìm ra lý do tại sao bạn có những cảm xúc đấy. Nó giúp bạn hiểu bản thân bạn hơn.
Mình muốn bạn hãy xem cuốn sách này mới chỉ là sự bắt đầu.
Đã đến lúc bạn tự lập trình nên quỹ đạo cuộc đời của chính bạn dựa trên những hệ tư duy bạn lĩnh hội được trong Lập trình Quỹ Đạo Cuộc Đời.
Một lần nữa, cảm ơn bạn. Quỹ Đạo Cuộc Đời là của bạn, hãy tận hưởng việc lập trình nó mỗi ngày. ",2019-07-04,3,,
Giáo Trình C++ Và Lập Trình Hướng Đối Tượng,200,8935095624539,Tiếng Việt,482,116000,https://www.fahasa.com/giao-trinh-c-va-lap-trinh-huong-doi-tuong.html,"Lập trình cấu trúc là phương pháp tổ chức, phân chia chương trình thành các hàm, thủ tục. Chúng được dùng để xử lý dữ liệu nhưng lại tách rời các cấu trúc dữ liệu.
Lập trình hướng đối tượng dựa trên việc tổ chức chương trình thành các lớp. Khác với hàm và thủ tục, lớp là một đơn vị bao gồm cả dữ liệu và các phương thức xử lý.
“Giáo trình C++ & lập trình hướng đối tượng” trình bày một cách hệ thống các khái niệm của lập trình hướng đối tượng được cài đặt trong C++ như lớp, đối tượng, sự thừa kế, tính tương ứng bội và các khả năng mới trong xây dựng, sử dụng hàm như đối tham chiếu, đối mặc định, hàm trùng tên, hàm toán tử. “Giáo trình C++ & lập trình hướng đối tượng” gồm 13 chương và 5 phụ lục được trình bày khá khoa học. Ngoài ra, cuốn sách còn đề cập đến một số vấn đề còn ít được biết đến như cách xây dựng hàm với số đối bất định trong C cũng sẽ được giới thiệu .",2017-06-08,4,,
Giáo Trình Kỹ Thuật Lập Trình C Căn Bản & Nâng Cao,200,8935095624522,Tiếng Việt,430,89000,https://www.fahasa.com/giao-trinh-ky-thuat-lap-trinh-c-can-ban-nang-cao.html,"Cùng với sự phát triển như vũ bão của khoa học kỹ thuật nói chung, ngành Công nghệ Thông tin nói riêng đã và đang thâm nhập vào thực tiễn của mọi lĩnh vực trong cuộc sống và hoạt động của con người, trong đó công nghệ lập trình cũng không ngừng phát triển và ngày một ứng dụng rộng rãi hơn.Trong các ngôn ngữ lập trình, ngôn ngữ lập trình C từ lâu đã trở thành ngôn ngữ phổ biến vì tính đa dụng và linh hoạt của nó. Từ một nhà lập trình có tên tuổi cho đến một sinh viên công nghệ thông tin hoặc người yêu thích công nghệ thông tin đều không thể phủ nhận khả năng giải quyết vì xử lý nhanh một bài toán, từ đơn giản đến phức tạp, trên nhiều lĩnh vực khác nhau của ngôn ngữ C. Để đáp ứng nhu cầu mong muốn của nhiều bạn đọc, Nhà xuất bản Thông tin và Truyền thông trân trọng giới thiệu cuốn sách “Giáo trình Kỹ thuật lập trình C: Cơ sở và nâng cao” của PGS. TS Phạm Văn Ất, một tên tuổi quen thuộc với bạn đọc yêu thích ngôn ngữ C.
Nội dung cuốn sách gồm 2 phần:
Phần cơ sở (10 chương đầu) giới thiệu các khái niệm cơ bản như: hằng và biến, biểu thức, hàm đệ quy, con trỏ hàm, cấu trúc, danh sách móc nối, kỹ thuật đồ họa và tổ chức tệp,…
Phần nâng cao (5 chương còn lại và một vài vấn đề khó ở cuối chương 6, 7, 9, 10). Bạn đọc có thể tìm thấy ở đây nhiều vấn đề bổ ích và lý thú như: Kỹ thuật tạo ảnh chuyển động, in ảnh từ màn hình đồ họa, chơi nhạc trên máy, kiến trúc bộ nhớ 8086 và cách truy cập trực tiếp vào bộ nhớ, sử dụng các chức năng sâu của DOS và BIOS, điều khiển chuột, cách lập hàm xử lý ngắt và chương trình thường trú, thay đổi chức năng các phím.
Trong sách còn đưa vào hơn 200 hàm chuẩn chọn lọc của Turbo C, đủ để bạn đọc tiện tra cứu và sử dụng. Các vấn đề lý thuyết được minh họa trên nhiều chương trình chọn lọc đã thử nghiệm trên máy.",2017-08-10,5,,
Data Strategy - Chiến Lược Dữ Liệu,200,8935086846865,Tiếng Việt,272,126400,https://www.fahasa.com/data-strategy-chien-luoc-du-lieu.html,"Dữ liệu đang thay đổi cách chúng ta sống và làm việc với tốc độ chưa từng có. Nó là tất cả dấu vết ta để lại khi lướt web, mua hàng qua thẻ tín dụng, gửi e-mail, chụp ảnh, đọc báo trực tuyến, thậm chí dạo phố khi mang theo điện thoại di động hoặc đi trong khu vực có hệ thống .
Nhờ vào dữ liệu, nhà bán lẻ Target tại Mỹ đã dự đoán đúng một thiếu nữ đang mang thai dựa trên thói quen mua hàng của cô ấy; Google có thể hiển thị chính xác quảng cáo phù hợp với bạn; Facebook biết bạn của bạn là ai, bạn đang trong mối quan hệ với người nào, dự đoán được mối quan hệ này kéo dài trong bao lâu, khi nào bạn sẽ có một mối quan hệ tình cảm, thậm chí cho biết mức độ thông minh của bạn…
Tuy nhiên, hiện có chưa đến 0,5% dữ liệu được phân tích và sử dụng. Nhận thấy mảnh đất màu mỡ này, Bernard Marr đã cho ra đời Chiến Lược Dữ Liệu - nơi hội tụ những kiến thức về dữ liệu được đơn giản hóa với nhiều ví dụ dễ hiểu - cung cấp cho bạn cách thức tối đa hóa sức mạnh của dữ liệu bên cạnh việc tránh những rắc rối liên quan đến pháp lý, danh tiếng và tài chính.
Tầm quan trọng của chiến lược dữ liệu ngày càng được khẳng định qua thành công của các doanh nghiệp hoạt động trên nền tảng dữ liệu như Alphabet, Facebook, Narrative Science, Amazon, Apple… Việc có một chiến lược dữ liệu mạnh và lộ trình khoa học đã trở thành một phần tất yếu trong ADN của mỗi tổ chức. Nó xứng đáng nhận được sự quan tâm ngang với chiến lược marketing, khách hàng, sản phẩm hay thu hút nhân tài của doanh nghiệp.
Chiến Lược Dữ Liệu không chỉ phù hợp cho người bước đầu làm quen với dữ liệu, mà còn cung cấp nhịp điệu bao quát về những thay đổi đang diễn ra trên thị trường và trang bị nền tảng ban đầu cho người đang chịu trách nhiệm về mảng dữ liệu của doanh nghiệp.",2019-08-03,6,,
Khoa Học Khám Phá - Lược Sử Thời Gian (Tái Bản 2022),200,8934974179238,Tiếng Việt,286,92000,https://www.fahasa.com/khoa-hoc-kham-pha-luoc-su-thoi-gian-tai-ban-2022.html,"Tò mò là một trong những phẩm chất bẩm sinh vô cùng quan trọng của chúng ta, và những vấn đề như Bản chất của vũ trụ là gì? Vũ trụ từ đâu ra? Chúng ta đến từ đâu và đóng vai trò gì trong vũ trụ? Có giới hạn cho sự nhận thức của con người không?... là những câu hỏi mà biết bao nhiêu thế hệ con người đã đặt ra dưới dạng này hoặc dạng khác từ khi bắt đầu biết nhận thức và suy ngẫm về thế giới này. Tất cả những vấn đề được nên ra trong tác phẩm Lược sử thời gian như Vũ trụ giãn nở, Lỗ đen, Nguồn gốc và số phận của vũ trụ, Mũi tên thời gian… đều là mong muốn của tác giả để phần nào trả lời được những câu hỏi đó, và hướng tới việc giải thích các giai đoạn lịch sử của toàn bộ vũ trụ.
Bằng ngôn ngữ sáng sủa, lập luận chặt chẽ rất thuyết phục, và sự dí dỏm rất riêng, tác giả Stephen Hawking đặt ra cho mình nhiệm vụ diễn tả những điều phức tạp nhất trong vật lý học một cách dễ hiểu đối với mọi người, không dùng bất kỳ công thức toán học nào, trừ phương trình nổi tiếng của Einstein: E = mc2",2022-06-03,2,,
Sinh Học Phân Tử Của Tế Bào 01 - Cơ Sở Hoá Học Và Phân Tử,100,8934974154709,Tiếng Việt,284,128000,https://www.fahasa.com/sinh-hoc-phan-tu-cua-te-bao-01-co-so-hoa-hoc-va-phan-tu.html,"Sinh Học Phân Tử của Tế Bào là một cuốn sách giáo khoa chuyên ngành dành cho sinh viên đại học và sau đại học, do GS. Harvey Lodish và các nhà khoa học hàng đầu thế giới biên soạn. Nội dung sách chứa đựng các thông tin súc tích và cập nhật về hoạt động của tế bào ở mức phân tử. Cuốn sách tổng hợp các kiến thức thiết yếu trong sinh học tế bào, di truyền học, hệ gene học, hóa sinh học và sinh học phát triển, đồng thời đưa ra rất nhiều ví dụ minh họa trong y học, công nghệ sinh học và sinh học thực vật. Các tác giả còn đưa ra những giải thích chi tiết về các phương pháp và kỹ thuật mà các nhà khoa học đã dùng để khám phá ra các tri thức đó. Chính vì thế người đọc có thể nắm vững hơn các công nghệ cần thiết để đi sâu hơn vào các lĩnh vực nghiên cứu mới mẻ này. Tập 1 gồm 3 chương:
- Chương 1. Phân tử, Tế bào và Sự Tiến hoá
- Chương 2. Cơ sở hóa học 
- Chương 3. Cấu trúc và chức năng của protein.
Đây là lần in tái bản của tập 1 đã ra, nhưng lại là lần in hoàn toàn mới vì đây là bản cập nhật theo ấn bản 7  của Molecular Cell Biology, ấn bản được đưa vào nội dung nhiều  tiến bộ ngoạn mục trong bốn năm vừa qua trong lĩnh vực Y Sinh học.",2018-12-14,2,,
Sinh Học Phân Tử Của Tế Bào (Tập 2),100,8934974141471,Tiếng Việt,470,293000,https://www.fahasa.com/sinh-hoc-phan-tu-cua-te-bao-tap-2.html?fhs_campaign=COLA_TMDT_HETHONG,"Sinh Học Phân Tử Của Tế Bào (Tập 2)

Sinh học phân tử của tế bào là nền tảng của sinh học hiện đại, gồm những kiến thức cơ sở, chuẩn xác và quý giá trong lĩnh vực sinh học phù hợp với sinh viên, giảng viên, nghiên cứu viên và những người làm việc trong lĩnh vực sinh học và y khoa. Sách được dịch từ bản gốc tiếng Anh 'Molecular cell biology' và được chia làm 5 tập. Tập 2 với nội dung về di truyền học và sinh học phân tử.",2016-08-09,2,,
Sự Đầy Của Cái Không,200,8934974157069,Tiếng Việt,344,112000,https://www.fahasa.com/su-day-cua-cai-khong.html,"Chúng ta đứng giữa hai cái vô hạn, vô cùng bé và vô cùng lớn, hai cột mốc hiểu biết đã thách thức con người xuyên suốt chiều dài lịch sử. Và cũng như vô hạn, cái không không ngừng xuất hiện dưới nhiều hình thức trong các lĩnh vực khác nhau của tư tưởng con người. Sự sợ hãi cái hư vô, hay chân không, thể hiện rất rõ trong tư tưởng phương Tây, mà rõ nét nhất là việc số 0, biểu hiện của cái không trong toán học, đã ra đời ở phương Đông bất chấp những tiến bộ lớn lao trong toán học phương Tây. Con người sợ chân không, tự nhiên sợ chân không, vậy chân không thật sự là gì? Nó có thật sự trống rỗng? Không gian trong vũ trụ có phải là chân không? Làm thế nào mà vũ trụ lại chuyển từ không tồn tại thành tồn tại, từ hư vô thành một cái gì đó? Vai trò của chân không trong sự ra đời của vũ trụ là gì?
Chúng ta đứng giữa hai cái vô hạn, vô cùng bé và vô cùng lớn, hai cột mốc hiểu biết đã thách thức con người xuyên suốt chiều dài lịch sử. Và cũng như vô hạn, cái không không ngừng xuất hiện dưới nhiều hình thức trong các lĩnh vực khác nhau của tư tưởng con người. Sự sợ hãi cái hư vô, hay chân không, thể hiện rất rõ trong tư tưởng phương Tây, mà rõ nét nhất là việc số 0, biểu hiện của cái không trong toán học, đã ra đời ở phương Đông bất chấp những tiến bộ lớn lao trong toán học phương Tây. Con người sợ chân không, tự nhiên sợ chân không, vậy chân không thật sự là gì? Nó có thật sự trống rỗng? Không gian trong vũ trụ có phải là chân không? Làm thế nào mà vũ trụ lại chuyển từ không tồn tại thành tồn tại, từ hư vô thành một cái gì đó? Vai trò của chân không trong sự ra đời của vũ trụ là gì?
Trong cuốn Sự đầy của cái không, tác giả Trịnh Xuân Thuận đưa độc giả đi qua lịch sử phát triển của khoa học và triết học về chân không, từ thuyết tương đối đến lý thuyết lượng tử, từ khái niệm chân không trong Đạo giáo đến các mặt đối lập bổ sung cho nhau trong Phật giáo. Đây là cuốn sách dành cho tất cả những ai muốn hiểu hơn về nguồn gốc vũ trụ, và do đó hiểu hơn về nguồn gốc của chính loài người, những sinh vật có ý thức để đặt câu hỏi về cõi hư vô đã sinh ra vũ trụ này.",2018-09-05,2,,
Nguồn Gốc - Nỗi Hoài Niệm Về Những Thuở Ban Đầu,200,8934974140573,Tiếng Việt,620,150400,https://www.fahasa.com/nguon-goc-noi-hoai-niem-ve-nhung-thuo-ban-dau-159560.html,"Cuốn sách này nhằm mở ra cho độc giả những cánh cửa của thế giới vô cùng lớn - các thiên hà xa xôi, các tinh vân sặc sỡ của Ngân hà, các hành tinh của Hệ Mặt trời; cũng như những cánh cửa của thế giới vô cùng nhỏ - các tế bào sống, các mạng nơron, chuỗi xoắn kép AND; và tiết lộ cho độc giả những khía cạnh mới vẻ đẹp tráng lệ của thế giới.",2016-06-14,2,,
Khoa Học Khám Phá - Trả Lời Ngắn Gọn Những Câu Hỏi Lớn,200,8934974169574,Tiếng Việt,204,72000,https://www.fahasa.com/khoa-hoc-kham-pha-tra-loi-ngan-gon-nhung-cau-hoi-lon.html,"Khoa Học Khám Phá - Trả Lời Ngắn Gọn Những Câu Hỏi Lớn
Các nhà khoa học, các chuyên gia kỹ thuật, các doanh nhân tầm cỡ, các nhà chính trị hàng đầu và công chúng bình dân thường hỏi Stephen Hawking xem ông nghĩ gì đối với “các câu hỏi lớn” của thời đại, những câu hỏi mà phần lớn các nhà khoa học khác đôi khi lảng tránh. Stephen đã tạo ra một kho lưu trữ riêng các câu trả lời của mình, dưới dạng các bài nói, phỏng vấn và bài viết. Cuốn sách này được lấy ra từ kho lưu trữ cá nhân ấy của Stephen và hình thành trong khoảng thời gian ông ra đi. 
Trong cuốn sách này, Stephen Hawking đã trả lời các câu hỏi như: Có chăng Thượng đế? Mọi sự đã khởi đầu như thế nào? Liệu chúng ta có thể dự đoán tương lai không? Bên trong lỗ đen có gì? Du hành thời gian có khả thi không? Chúng ta định hình tương lai bằng cách nào?... bằng những suy luận bắt nguồn từ lĩnh vực khoa học của ông, rất sắc bén đồng thời cũng vô cùng ngắn gọn, thật sâu xa nhưng cũng rất giản dị, như chính bản thân ông vậy.",2020-05-08,2,,
Tối Ưu Toàn Diện Website Doanh Nghiệp - Phiên Bản Thứ 2,100,8935072953874,Tiếng Việt,374,148000,https://www.fahasa.com/toi-uu-toan-dien-website-doanh-nghiep-pb-thu-2-nxb-thtp.html,"Chúng tôi viết cuốn sách này cho bản thân chúng tôi, cái thời chúng tôi còn trẻ. Ngày xưa, cả hai chúng tôi quản lý việc kinh doanh trực tuyến - đây là nơi đã cho chúng tôi nhiều thách thức là làm sao để có thể tăng doanh số một cách ồ ạt. Lúc đó, chúng tôi làm việc ở hai châu lục khác nhau, và cả hai đều rất áp lực khi phải tìm cách phát triển doanh nghiệp của mình bằng mọi giá.
Vào thời điểm đó không tìm đầu ra cuốn sách như thế này - nếu có chúng tôi đã ngấu nghiến lấy nó rồi. Nghĩ đến điều đó, chúng tôi quyết định viết cuốn sách này cho bạn. Quan điểm của chúng tôi là viết ra một hướng dẫn theo từng bước thật chi tiết rõ ràng về cách tăng doanh số bán hàng trực tuyến cho người khác. Quyết định của chúng tôi đã gây sốc.
Một số người cảnh báo chúng tôi rằng viết một cuốn sách cho đi kiến thức của mình, tiết lộ toàn bộ bí mật và chuyên môn, sẽ gây hại cho công ty của chúng tôi vì lúc đó các khách hàng tiềm năng sẽ biết cách tự kinh doanh. Điều đó chưa bao giờ khiến chúng tôi lo lắng. Mỗi ngày, chúng ta thấy mọi người thất vọng như thế nào khi sử dụng các trang web thương mại điện tử. Khi truy cập một trang web, khách truy cập không chỉ muốn trải nghiệm qua các trang web, mà còn là quá trình suy nghĩ họ phải trải qua trước khi họ quyết định mua hàng. Giải quyết những vấn đề này là điều thôi thúc chúng tôi.",2022-05-12,6,,
Hiểm Họa Hacker Hiểu Biết Và Phòng Chống (Tái Bản 2018),100,9786045882771,Tiếng Việt,344,118000,https://www.fahasa.com/hiem-hoa-hacker-hieu-biet-va-phong-chong-tai-ban-2018.html,"Gần đây người ta thường nói đến hacker (hiểu theo nghĩa tiêu cực là tin tặc), đến sự nguy hiểm của những cuộc tấn công mạng. Nhưng nhiều người trong số chúng ta vẫn cho rằng, mối đe dọa này chẳng mấy liên quan đến thường dân. Thực tế lại không như vậy. Hầu như tất cả các công trình công nghiệp hiện nay đều đã được tự động hóa, ứng dụng công nghệ thông tin (CNTT), trong đó có những công trình đặc biệt quan trọng đối với một quốc gia như chế biến dầu khí, nhà máy điện, cảng hàng không... Cuốn sách này đề cập đến một vấn đề quan trọng: an ninh của các công trình công nghiệp tối quan trọng, và cũng là an ninh của quốc gia nói chung.
Việc tự động hóa, ứng dụng CNTT trong sản xuất giúp nâng cao độ tin cậy, tăng năng suất vì loại bỏ được lỗi do con người gây ra. Thế nhưng, đây lại chính là mục tiêu tấn công của hacker. Trên thế giới hiện nay đã có nhiều trường hợp xảy ra, chỉ một nhóm hacker cũng có thể làm đình trệ cả một hệ thống lớn.
Ví dụ điển hình là cuộc tấn công bằng mã độc vào Cụm cảng Hàng không Việt Nam tại Nội Bài và Tân Sơn Nhất vào cuối tháng 7/2016 đã gây ngưng trệ hoạt động tại các sân bay, đồng thời một lượng dữ liệu lớn của khách hàng Vietnam Airlines bị đánh cắp. Chưa dừng ở đó, vụ mất tiền từ tài khoản của khách hàng tại Vietcombank cũng cho thấy có bàn tay của hacker chuyên nghiệp.
Sẽ ra sao nếu như đứng sau những cuộc tấn công như vậy lại là bọn khủng bố, hay tệ hơn là kẻ thù tiềm năng, và thậm chí cả một quốc gia thù địch với tiềm lực công nghệ lẫn tài chính mạnh hơn rất nhiều, nghĩa là khả năng đạt mục tiêu cũng lớn hơn và hậu quả sẽ thảm khốc hơn.
Chính vì vậy, sự ra mắt của cuốn sách “Hiểm họa hacker: Hiểu biết và phòng chống” là rất đúng lúc và cần thiết. Tác giả của cuốn sách này là một nhà khoa học Nga - chuyên gia về an ninh thông tin. Và chúng ta đều biết rằng an ninh thông tin của Nga là một trong những trường phái mạnh hàng đầu thế giới.
Cuốn sách rất thiết thực cho cán bộ và đại diện các cơ quan an ninh, nó cũng cần thiết cho lãnh đạo các công trình tối quan trọng để nhận thức rõ tính cấp thiết của vấn đề an ninh thông tin. Hơn nữa, cuốn sách còn rất bổ ích cho các doanh nhân, chuyên viên CNTT, và cho cả những người quan tâm đến CNTT và an ninh mạng.",2018-06-04,6,,
Ngôi Trường Mọi Khi (Tái Bản 2022),100,8934974178644,Tiếng Việt,244,34000,https://www.fahasa.com/ngoi-truong-moi-khi-tai-ban-2022-399604.html,"Những câu chuyện về nhóm bạn học sinh năm đầu cấp 3 với bao kỷ niệm vui buồn hờn giận, bao nhiêu trò tinh nghịch của tuổi mới lớn.
Với những Hạt tiêu, Tóc ngắn, Hột mít, Bảnh trai, Răng chuột, Mặt mụn…đã tạo nên không khí của một lớp học thật dễ thương với bao nhiêu tình cảm yêu thương, cảm động và gần gũi.",2022-05-05,2,,
